date,india_close,us_close,usdinr,fair_value,premium
2021-09-23,1742.6,23.73,73.7,23.64450474898236,0.0036158613565937525
2021-09-24,1763.9,23.68,73.81,23.897845820349545,-0.00911570950734164
2021-09-27,1721.2,22.9,73.86,23.303547251557,-0.017316988147803913
2021-09-28,1687.1,22.09,74.21,22.734132866190542,-0.028333293817793925
2021-09-29,1692.3,22.48,74.28,22.7827140549273,-0.013287005850026512
2021-09-30,1675.2,22.25,74.16,22.588996763754047,-0.015007163323782269
2021-10-01,1665.2,22.33,74.15,22.457181389076197,-0.00566328368964697
2021-10-04,1678.8,22.15,74.46,22.546333601933924,-0.017578627591136597
2021-10-05,1692.8,22.75,74.51,22.719098107636558,0.0013601724952740923
2021-10-06,1673.6,22.45,74.82,22.368350708366748,0.003650215105162502
2021-10-07,1691.0,22.77,74.85,22.59185036740147,0.007885570668243691
2021-10-08,1723.9,21.93,75.05,22.970019986675553,-0.045277278264400644
2021-10-11,1691.0,21.82,75.05,22.531645569620252,-0.03158426966292127
2021-10-12,1685.2,21.88,75.46,22.33236151603499,-0.020255874673629437
2021-10-13,1709.2,22.65,75.33,22.689499535377674,-0.0017408729230050657
2021-10-14,1715.8,22.71,75.18,22.822559191274273,-0.004931926797994923
2021-10-18,1792.2,23.78,75.32,23.79447689856612,-0.0006084142394822134
2021-10-19,1822.2,24.22,75.06,24.276578737010393,-0.0023305893974318037
2021-10-20,1802.4,24.13,74.83,24.08659628491247,0.0018019862405680431
2021-10-21,1753.7,23.41,74.8,23.4451871657754,-0.001500826823287893
2021-10-22,1719.8,23.01,74.87,22.970482169093092,0.0017203744621470118
2021-10-25,1707.6,22.93,75.05,22.752831445702864,0.00778665963925973
2021-10-26,1703.7,22.69,74.9,22.74632843791722,-0.002476374948641058
2021-10-27,1729.0,22.55,75.01,23.050259965337954,-0.021703007518796946
2021-10-28,1703.9,22.56,74.77,22.788551558111543,-0.010029227067316238
2021-10-29,1667.8,22.28,75.0,22.237333333333332,0.0019186952872047858
2021-11-01,1700.1,22.47,74.83,22.71949752772952,-0.01098164813834479
2021-11-02,1697.9,22.66,74.63,22.7509044620126,-0.003995641675010431
2021-11-03,1702.5,22.71,74.51,22.849281975573746,-0.006095682819383108
2021-11-04,1708.7,22.71,74.53,22.92633838722662,-0.00943623807573013
2021-11-08,1737.5,23.44,73.91,23.50832093086186,-0.0029062446043165435
2021-11-09,1742.5,23.3,74.1,23.51551956815115,-0.009164992826398932
2021-11-10,1740.2,22.96,74.26,23.433880958793427,-0.020222043443282267
2021-11-11,1733.3,23.2,74.26,23.34096417990843,-0.006039346910517551
2021-11-12,1780.2,23.7,74.4,23.927419354838708,-0.00950455005055606
2021-11-15,1787.2,23.63,74.35,24.03765971755212,-0.016959209937332242
2021-11-16,1792.3,24.03,74.48,24.064178302900107,-0.0014202979411928052
2021-11-17,1787.5,23.74,74.28,24.06435110393107,-0.013478489510489466
2021-11-18,1779.4,23.65,74.25,23.964983164983167,-0.013143475328762588
2021-11-22,1759.4,22.77,74.37,23.657388732015598,-0.037510003410253456
2021-11-23,1736.9,22.89,74.49,23.31722378842798,-0.01832224077379252
2021-11-24,1696.0,22.61,74.57,22.743730722810785,-0.005879893867924646
2021-11-26,1691.7,22.2,74.89,22.589130725063427,-0.017226458591948934
2021-11-29,1696.4,22.62,75.12,22.582534611288605,0.0016590426786136092
2021-11-30,1712.7,22.58,75.1,22.805592543275633,-0.009891983417995132
2021-12-01,1714.9,22.44,74.83,22.91727916610985,-0.020826170622193718
2021-12-02,1748.3,23.44,74.89,23.34490586193083,0.0040734427729796074
2021-12-03,1735.6,22.88,75.24,23.067517278043596,-0.008129061995851727
2021-12-06,1695.3,22.25,75.39,22.48706725029845,-0.010542381879313445
2021-12-07,1711.7,23.06,75.43,22.692562640859073,0.016191972892446227
2021-12-08,1753.4,23.44,75.4,23.254641909814325,0.007970799589369193
2021-12-09,1763.5,23.25,75.58,23.332892299550146,-0.003552594272753007
2021-12-10,1759.3,23.19,75.66,23.25270948982289,-0.0026968680725287797
2021-12-13,1744.7,22.61,75.78,23.02322512536289,-0.017948185934544614
2021-12-14,1752.2,22.89,75.98,23.06133192945512,-0.007429403036183002
2021-12-15,1734.2,23.26,76.38,22.70489656978267,0.02444862184292451
2021-12-16,1771.6,24.11,76.18,23.255447624048305,0.03674633100022584
2021-12-17,1820.9,24.04,75.98,23.96551724137931,0.0031079136690648212
2021-12-20,1798.9,23.69,75.82,23.725929833816938,-0.0015143698927122529
2021-12-21,1811.6,24.22,75.67,23.940795559666974,0.01166228748067999
2021-12-22,1824.7,24.53,75.45,24.184227965540092,0.014297418753767888
2021-12-23,1857.6,24.73,75.02,24.76139696081045,-0.001267980189491813
2021-12-27,1866.2,25.33,74.97,24.89262371615313,0.0175705176294072
2021-12-28,1888.0,25.3,74.67,25.284585509575464,0.000609639830508435
2021-12-29,1885.6,25.38,74.58,25.282917672298204,0.0038398387781077847
2021-12-30,1892.9,25.41,74.39,25.44562441188332,-0.0014000211315970956
