entry_date,exit_date,direction,entry_premium,exit_premium,days,gross_return,net_return,pnl,capital
2021-10-08,2021-10-13,LONG_US_SHORT_INDIA,-0.045277278264400644,-0.0017408729230050657,3,0.04353640534139558,0.03853640534139558,385.3640534139558,100385.36405341396
2021-11-22,2021-11-29,LONG_US_SHORT_INDIA,-0.037510003410253456,0.0016590426786136092,4,0.039169046088867066,0.03416904608886707,343.00721309888013,100728.37126651284
2021-12-16,2021-12-17,SHORT_US_LONG_INDIA,0.03674633100022584,0.0031079136690648212,1,0.03363841733116102,0.028638417331161018,288.4701133418523,101016.8413798547
2022-01-20,2022-02-04,LONG_US_SHORT_INDIA,-0.03498514009979725,-0.019112687381540372,10,0.01587245271825688,0.010872452718256879,109.83008316501252,101126.67146301971
2022-04-13,2022-04-19,LONG_US_SHORT_INDIA,-0.07731522360745735,-0.001354801536491701,2,0.07596042207096565,0.07096042207096565,717.5991289647757,101844.27059198449
2022-04-29,2022-05-02,LONG_US_SHORT_INDIA,-0.030583312069405233,0.00017748215444512994,1,0.030760794223850363,0.025760794223850362,262.3589297598248,102106.62952174431
2022-05-18,2022-05-20,LONG_US_SHORT_INDIA,-0.03300172276702884,-0.00036214953271018757,2,0.03263957323431865,0.027639573234318652,282.2183664375695,102388.84788818187
2022-06-10,2022-06-15,LONG_US_SHORT_INDIA,-0.030873239436619904,0.004651103923498656,3,0.03552434336011856,0.03052434336011856,312.53523491858135,102701.38312310046
2022-09-13,2022-09-19,LONG_US_SHORT_INDIA,-0.04509100323624604,-0.0018333453211538675,4,0.043257657915092174,0.038257657915092176,392.91143829303985,103094.2945613935
2022-10-07,2022-10-17,LONG_US_SHORT_INDIA,-0.032263506063947234,0.0013594630872482139,6,0.03362296915119545,0.028622969151195447,295.0864812895023,103389.381042683
2022-11-10,2022-11-14,SHORT_US_LONG_INDIA,0.03184021304926743,-0.0013505330221407208,2,0.03319074607140815,0.02819074607140815,291.4623787454336,103680.84342142844
2022-12-16,2022-12-21,LONG_US_SHORT_INDIA,-0.036625739061884266,-0.000531134075251738,3,0.03609460498663253,0.031094604986632527,322.39148708702146,104003.23490851546
2023-04-13,2023-04-20,LONG_US_SHORT_INDIA,-0.09486754966887412,-0.003445316331535331,4,0.09142223333733879,0.08642223333733878,898.8191835101782,104902.05409202563
2023-07-20,2023-07-21,LONG_US_SHORT_INDIA,-0.08252652638840996,0.0036324722138780796,1,0.08615899860228804,0.08115899860228803,851.3745661431853,105753.42865816882
2023-10-12,2023-10-16,LONG_US_SHORT_INDIA,-0.06462722620266126,-0.0006632268860689017,2,0.06396399931659236,0.05896399931659236,623.5645095127566,106376.99316768158
2024-01-11,2024-01-18,SHORT_US_LONG_INDIA,0.04579346807656259,0.003813770851089693,4,0.0419796972254729,0.0369796972254729,393.37889990970643,106770.37206759128
2024-07-18,2024-07-24,SHORT_US_LONG_INDIA,0.057764063477617755,-0.0021160305343511654,4,0.05988009401196892,0.05488009401196892,585.956805676231,107356.32887326751
2024-10-17,2024-10-23,LONG_US_SHORT_INDIA,-0.03239347594126307,-0.003430874346108559,4,0.028962601595154513,0.023962601595154513,257.25369375084927,107613.58256701837
2025-01-16,2025-01-24,LONG_US_SHORT_INDIA,-0.031726782473424975,-0.0035638496400959285,5,0.028162932833329046,0.023162932833329045,249.26461849537563,107862.84718551375
2025-02-28,2025-03-06,SHORT_US_LONG_INDIA,0.042098714226462164,0.002635643102744778,4,0.039463071123717386,0.03446307112371739,371.728497416102,108234.57568292985
2025-03-20,2025-03-24,LONG_US_SHORT_INDIA,-0.03518284228769508,-0.0014060773480661926,2,0.03377676493962889,0.02877676493962889,311.46409427681454,108546.03977720666
2025-04-07,2025-04-23,SHORT_US_LONG_INDIA,0.03133089919816734,-0.0021109227744252612,9,0.0334418219725926,0.0284418219725926,308.7247139173267,108854.76449112399
2025-06-20,2025-07-02,LONG_US_SHORT_INDIA,-0.05679068334463011,0.0046668736417261325,8,0.06145755698635624,0.056457556986356246,614.5674069494022,109469.33189807339
2025-07-10,2025-07-17,LONG_US_SHORT_INDIA,-0.04055885629409561,0.004040164193242601,5,0.044599020487338215,0.03959902048733822,433.4878316567035,109902.8197297301
2025-09-08,2025-09-09,SHORT_US_LONG_INDIA,0.03406902086677355,-0.003575616565844486,1,0.03764463743261803,0.032644637432618036,358.7737702899419,110261.59350002004
2025-10-16,2025-10-17,LONG_US_SHORT_INDIA,-0.041041997961263954,-0.002930608562903503,1,0.03811138939836045,0.033111389398360454,365.0914558062894,110626.68495582633
2025-10-21,2025-10-27,SHORT_US_LONG_INDIA,0.048365870353891394,-0.0005918245264208144,3,0.04895769488031221,0.04395769488031221,486.28940629086395,111112.9743621172
2025-12-04,2025-12-09,SHORT_US_LONG_INDIA,0.0300145843765649,-0.0020481550969354556,3,0.03206273947350036,0.027062739473500356,300.7021477287702,111413.67650984596
2025-12-18,2025-12-23,SHORT_US_LONG_INDIA,0.0640490533562823,-0.0018750224779715552,3,0.06592407583425386,0.06092407583425386,678.7775276658884,112092.45403751185
2026-01-14,2026-01-16,SHORT_US_LONG_INDIA,0.09147643455431931,0.0018393300982364469,1,0.08963710445608286,0.08463710445608286,948.7180741111557,113041.172111623
2026-02-02,2026-02-05,SHORT_US_LONG_INDIA,0.030006996440407496,-0.0017471385344034474,3,0.031754134974810944,0.026754134974810943,302.43187763851967,113343.60398926152
2026-02-12,2026-02-25,LONG_US_SHORT_INDIA,-0.07081363636363636,0.0038973722967212687,8,0.07471100866035763,0.06971100866035762,790.1296959291556,114133.73368519067
2026-02-26,2026-03-10,SHORT_US_LONG_INDIA,0.036788457063067215,-0.004651126891015878,7,0.04143958395408309,0.036439583954083095,415.8985770614467,114549.63226225213
2026-03-18,2026-03-30,LONG_US_SHORT_INDIA,-0.05304995659379674,0.00026587238125697077,7,0.053315828975053714,0.048315828975053716,553.456044153827,115103.08830640596
2026-04-07,2026-04-21,LONG_US_SHORT_INDIA,-0.031117216664178105,0.0017857142857142794,9,0.032902930949892384,0.027902930949892383,321.17135251330114,115424.25965891925
2026-04-24,2026-04-29,SHORT_US_LONG_INDIA,0.04976182227611314,0.0025259100642398558,3,0.04723591221187329,0.04223591221187329,487.50488980745814,115911.76454872671
2026-05-15,2026-06-02,SHORT_US_LONG_INDIA,0.03517238605898121,-0.019411709159584456,10,0.054584095218565665,0.04958409521856567,574.7379970336029,116486.50254576032
2026-06-15,2026-07-01,LONG_US_SHORT_INDIA,-0.03195347607718768,0.029546838526337105,10,0.061500314603524786,0.05650031460352479,658.152404089975,117144.6549498503
2026-07-24,2026-08-07,SHORT_US_LONG_INDIA,0.030628878854837005,0.015216832609990627,10,0.015412046244846378,0.010412046244846377,121.97155646744133,117266.62650631774
